ROWID,DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
76,CSM01,1,1984,AU,020B-W,2,0,0,3,0,0,0,0,0,0,0,0,0,0
77,CSM01,1,1984,AU,N20B-N,4,0,0,5,0,0,0,2,0,0,0,0,0,0
78,CSM01,1,1984,AU,N20B-S,0,0,0,5,0,1,0,0,0,0,0,0,0,0
79,CSM01,1,1984,AU,N01B-E,6,0,0,4,0,0,0,0,0,0,0,0,0,0
80,CSM01,1,1984,AU,N01B-W,6,0,0,0,0,0,0,1,0,0,0,0,0,0
81,CSM01,1,1984,AU,N04D-E,6,0,0,5,0,0,0,3,0,0,0,0,0,0
82,CSM01,1,1984,AU,N04D-W,3,0,0,1,0,1,0,0,0,0,0,0,0,0
83,CSM01,1,1984,SP,004F-E,1,0,0,0,0,0,0,1,0,0,0,0,0,0
84,CSM01,1,1984,SP,004F-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,CSM01,1,1984,SP,004B-E,6,0,0,0,0,0,0,0,0,0,0,0,0,0
86,CSM01,1,1984,SP,004B-W,2,0,0,0,0,0,0,0,0,0,0,0,0,0
87,CSM01,1,1984,SP,001D-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,CSM01,1,1984,SP,001D-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,CSM01,1,1984,SP,020B-E,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,CSM01,1,1984,SP,020B-W,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,CSM01,1,1984,SP,N20B-N,6,0,0,0,0,0,0,0,0,0,0,0,0,0
92,CSM01,1,1984,SP,N20B-S,2,0,0,1,0,0,0,0,0,0,0,0,0,0
93,CSM01,1,1984,SP,N01B-E,2,0,0,0,0,0,0,2,0,0,0,0,0,0
94,CSM01,1,1984,SP,N01B-W,2,0,0,0,0,0,0,3,0,0,0,1,0,0
95,CSM01,1,1984,SP,N04D-E,3,0,0,0,0,0,0,0,0,0,0,0,0,0
96,CSM01,1,1984,SP,N04D-W,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,CSM01,1,1985,AU,004F-E,2,0,0,2,0,0,0,1,0,0,0,0,0,0
98,CSM01,1,1985,AU,004F-W,7,1,0,4,0,0,1,1,0,0,0,0,0,0
99,CSM01,1,1985,AU,004B-E,4,1,0,7,0,0,0,0,0,0,1,0,0,0
100,CSM01,1,1985,AU,004B-W,5,0,0,6,0,0,0,0,0,0,0,0,0,0
101,CSM01,1,1985,AU,001D-E,1,1,0,0,0,0,0,0,0,1,0,0,0,1
102,CSM01,1,1985,AU,001D-W,3,0,0,0,0,0,0,0,0,0,0,1,0,0
103,CSM01,1,1985,AU,020B-E,1,0,0,4,0,0,0,3,0,0,0,0,0,0
104,CSM01,1,1985,AU,020B-W,1,0,0,6,0,1,0,0,0,0,0,0,0,0
105,CSM01,1,1985,AU,N20B-N,3,0,0,5,0,0,0,0,0,0,0,1,0,0
106,CSM01,1,1985,AU,N20B-S,4,0,0,8,0,0,2,0,0,0,0,0,0,0
107,CSM01,1,1985,AU,N01B-E,4,0,0,4,0,0,6,5,0,0,0,1,0,0
