DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM04,1,2002,AU,FA-A,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2002,AU,FB-B,16,0,5,0,0,0,1,0,0,0,0,0,0,0
CSM04,1,2002,AU,SpB-A,3,0,1,0,0,0,1,1,0,0,0,0,0,0
CSM04,1,2002,AU,SpB-B,1,0,2,0,0,0,0,6,0,0,0,0,0,0
CSM04,1,2002,AU,SuB-A,13,2,2,0,0,0,0,6,0,0,0,0,0,0
CSM04,1,2002,AU,SuB-B,18,0,1,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2002,AU,WA-A,6,1,1,0,0,0,0,5,0,0,0,0,0,0
CSM04,1,2002,AU,WB-B,6,0,0,1,0,0,0,0,0,0,0,0,0,0
CSM04,1,2002,SP,FA-A,11,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2002,SP,FB-B,13,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2002,SP,SpB-A,6,2,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2002,SP,SpB-B,9,6,4,0,0,0,1,6,0,0,0,0,0,0
CSM04,1,2002,SP,SuB-A,9,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2002,SP,SuB-B,14,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,2002,SP,WA-A,1,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2002,SP,WB-B,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2003,AU,FA-A,3,2,0,0,0,0,7,1,0,0,0,0,0,0
CSM04,1,2003,AU,FB-B,10,1,10,0,0,0,9,1,0,0,0,0,0,0
CSM04,1,2003,AU,SpB-A,7,0,0,0,0,0,1,0,0,0,1,0,0,0
CSM04,1,2003,AU,SpB-B,6,1,3,0,0,0,2,2,0,0,1,0,0,0
CSM04,1,2003,AU,SuB-A,6,1,0,2,0,0,0,5,0,0,0,0,0,0
CSM04,1,2003,AU,SuB-B,13,0,0,0,0,0,2,7,1,0,0,0,0,0
CSM04,1,2003,AU,WA-A,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CSM04,1,2003,AU,WB-B,1,1,5,1,0,0,5,0,0,0,0,0,0,0
CSM04,1,2003,SP,FA-A,12,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2003,SP,FB-B,15,0,0,0,0,0,2,3,0,0,0,0,0,0
CSM04,1,2003,SP,SpB-A,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CSM04,1,2003,SP,SpB-B,1,0,1,0,0,0,6,0,0,0,0,0,0,0
CSM04,1,2003,SP,SuB-A,0,1,0,0,0,0,3,3,0,0,0,0,0,0
CSM04,1,2003,SP,SuB-B,0,0,0,0,0,0,1,0,0,0,0,0,0,0
